Name,Number
MARY,3991060
PATRICIA,1628911
LINDA,1571224
BARBARA,1487729
ELIZABETH,1422451
JENNIFER,1414861
MARIA,1256979
SUSAN,1205364
MARGARET,1165894
DOROTHY,1103652
LISA,1068736
NANCY,1015603
KAREN,1012567
BETTY,1011048
HELEN,1006494
SANDRA,954879
DONNA,885047
CAROL,857721
RUTH,853167
SHARON,792443
MICHELLE,787889
LAURA,774226
SARAH,771190
KIMBERLY,765118
DEBORAH,749937
JESSICA,743864
SHIRLEY,731720
CYNTHIA,711985
ANGELA,710466
MELISSA,701358
BRENDA,690731
AMY,684659
ANNA,667960
VIRGINIA,652779
REBECCA,652779
KATHLEEN,643670
PAMELA,631526
MARTHA,625453
DEBRA,619381
AMANDA,613309
STEPHANIE,607236
CAROLYN,584465
CHRISTINE,579911
MARIE,575356
JANET,575356
CATHERINE,566248
FRANCES,561694
JOYCE,552585
ANN,552585
DIANE,544995
ALICE,541958
JULIE,528296
HEATHER,511597
TERESA,510078
GLORIA,508560
DORIS,508560
EVELYN,488825
JEAN,478199
CHERYL,478199
MILDRED,475162
KATHERINE,475162
JOAN,464536
ASHLEY,459981
JUDITH,450873
ROSE,449355
JANICE,432656
KELLY,429620
NICOLE,426583
JUDY,418993
CHRISTINA,417475
KATHY,412921
THERESA,411403
BEVERLY,405330
DENISE,400776
TAMMY,393185
IRENE,382559
JANE,379523
LORI,376486
RACHEL,367378
MARILYN,365860
ANDREA,358269
KATHRYN,355233
SARA,347643
LOUISE,347643
JACQUELINE,346125
ANNE,346125
WANDA,343089
JULIA,338534
BONNIE,338534
RUBY,335498
TINA,333980
LOIS,333980
PHYLLIS,332462
NORMA,330944
PAULA,329426
DIANA,327908
ANNIE,327908
LILLIAN,320317
ROBIN,315763
PEGGY,315763
EMILY,315763
CRYSTAL,314245
GLADYS,311209
RITA,309691
DAWN,306654
FLORENCE,303618
CONNIE,303618
TRACY,299064
EDNA,299064
TIFFANY,296028
CARMEN,296028
ROSA,294510
CINDY,291473
GRACE,286919
WENDY,280847
VICTORIA,273256
EDITH,271738
SHERRY,270220
KIM,270220
SYLVIA,268702
JOSEPHINE,268702
THELMA,265666
SHEILA,265666
SHANNON,265666
ETHEL,264148
MARJORIE,262630
ELLEN,262630
ELAINE,262630
CARRIE,259594
CHARLOTTE,256557
MONICA,252003
ESTHER,252003
PAULINE,250485
EMMA,250485
JUANITA,248967
RHONDA,245931
ANITA,245931
HAZEL,244413
AMBER,242895
EVA,241376
DEBBIE,238340
LESLIE,233786
APRIL,233786
LUCILLE,232268
JAMIE,232268
CLARA,232268
JOANNE,227714
ELEANOR,227714
VALERIE,226196
DANIELLE,226196
MEGAN,223159
ALICIA,221641
SUZANNE,220123
MICHELE,220123
GAIL,220123
BERTHA,217087
VERONICA,215569
JILL,215569
DARLENE,215569
GERALDINE,214051
ERIN,214051
LAUREN,207978
CATHY,207978
JOANN,206460
SALLY,204942
LYNN,204942
LORRAINE,204942
REGINA,201906
ERICA,197352
BEATRICE,197352
DOLORES,195834
BERNICE,194316
AUDREY,192798
YVONNE,191279
JUNE,189761
ANNETTE,189761
SAMANTHA,188243
MARION,185207
DANA,185207
STACY,183689
RENEE,182171
ANA,182171
VIVIAN,179135
IDA,179135
ROBERTA,177617
HOLLY,177617
BRITTANY,177617
MELANIE,176099
YOLANDA,174580
LORETTA,174580
JEANETTE,174580
LAURIE,173062
KATIE,171544
VANESSA,168508
SUE,168508
KRISTEN,168508
ALMA,168508
ELSIE,166990
BETH,166990
VICKI,165472
JEANNE,165472
TARA,162436
ROSEMARY,162436
CARLA,162436
TERRI,159400
EILEEN,159400
LUCY,156363
GERTRUDE,156363
TONYA,154845
STACEY,153327
ELLA,153327
WILMA,150291
KRISTIN,150291
GINA,150291
VERA,148773
NATALIE,148773
JESSIE,148773
AGNES,148773
WILLIE,147255
CHARLENE,147255
BESSIE,145737
DELORES,144219
PEARL,142701
MELINDA,142701
ARLENE,142701
TAMARA,139664
MAUREEN,139664
COLLEEN,139664
ALLISON,139664
JOY,138146
GEORGIA,138146
CONSTANCE,138146
MARCIA,136628
LILLIE,136628
JACKIE,136628
CLAUDIA,136628
TANYA,135110
NELLIE,135110
MINNIE,135110
MARLENE,133592
HEIDI,133592
GLENDA,133592
VIOLA,130556
MARIAN,130556
LYDIA,130556
COURTNEY,130556
STELLA,129038
CAROLINE,129038
DORA,127520
JO,126002
VICKIE,124483
MATTIE,122965
TERRY,121447
MAXINE,119929
IRMA,119929
MYRTLE,118411
MARSHA,118411
MABEL,118411
LENA,116893
CHRISTY,116893
PATSY,115375
DEANNA,115375
HILDA,113857
GWENDOLYN,112339
NORA,110821
JENNIE,110821
NINA,109303
MARGIE,109303
LEAH,109303
CASSANDRA,109303
PRISCILLA,107784
PENNY,107784
NAOMI,107784
KAY,107784
CAROLE,107784
OLGA,106266
BRANDY,106266
TRACEY,104748
LEONA,104748
DIANNE,104748
BILLIE,104748
SONIA,103230
JENNY,103230
FELICIA,103230
VELMA,100194
MIRIAM,100194
BECKY,100194
VIOLET,98676
KRISTINA,98676
BOBBIE,98676
TONI,97158
MISTY,95640
MAE,95640
SHERRI,94122
SHELLY,94122
RAMONA,94122
DAISY,94122
KATRINA,92604
ERIKA,92604
CLAIRE,92604
LINDSEY,91085
LINDSAY,91085
SHERYL,89567
MARGARITA,89567
GUADALUPE,89567
GENEVA,89567
BELINDA,89567
FAYE,88049
CORA,88049
SABRINA,86531
NATASHA,86531
ISABEL,86531
ADA,86531
MARGUERITE,85013
HATTIE,85013
HARRIET,85013
SANDY,83495
ROSIE,83495
MOLLY,83495
KRISTI,83495
JOANNA,83495
IRIS,83495
CECILIA,83495
BRANDI,83495
BLANCHE,83495
EUNICE,81977
ANGIE,81977
LYNDA,80459
INEZ,80459
MADELINE,78941
AMELIA,78941
ALBERTA,78941
SONYA,77423
MONIQUE,77423
MAGGIE,77423
LEE,77423
KRISTINE,77423
KAYLA,77423
JODI,77423
JANIE,77423
JAN,77423
GENEVIEVE,77423
CANDACE,77423
YVETTE,75905
OPAL,75905
MELODY,75905
MARYANN,75905
FANNIE,75905
ALISON,75905
SUSIE,74386
SHELLEY,74386
OLIVIA,74386
LUZ,74386
FLORA,74386
VERNA,72868
MAMIE,72868
LULA,72868
LOLA,72868
KRISTY,72868
BEULAH,72868
ANTOINETTE,72868
PAM,69832
KELLI,69832
JUANA,69832
JEANNETTE,69832
CANDICE,69832
WHITNEY,68314
HANNAH,68314
BRIDGET,68314
KARLA,66796
CELIA,66796
VICKY,65278
SHELIA,65278
PATTY,65278
LYNNE,65278
LATOYA,65278
GAYLE,65278
DELLA,65278
SHERI,63760
MARIANNE,63760
KARA,62242
JACQUELYN,62242
ERMA,62242
BLANCA,62242
ROXANNE,60724
PAT,60724
MYRA,60724
LETICIA,60724
KRISTA,60724
SADIE,59206
ROSALIE,59206
ROBYN,59206
JOHNNIE,59206
FRANCIS,59206
BROOKE,59206
BETHANY,59206
BERNADETTE,59206
ANGELICA,59206
ALEXANDRA,59206
ADRIENNE,59206
TRACI,57687
RACHAEL,57687
NICHOLE,57687
MURIEL,57687
MABLE,57687
KENDRA,57687
JODY,57687
JASMINE,57687
ERNESTINE,57687
CHELSEA,57687
MARCELLA,56169
KRYSTAL,56169
ELENA,56169
ANGELINA,56169
PAULETTE,54651
NADINE,54651
LORA,54651
KARI,54651
ESTELLE,54651
DIANNA,54651
ROSEMARIE,53133
MONA,53133
DOREEN,53133
DESIREE,53133
ANTONIA,53133
ANGEL,53133
JANIS,51615
HOPE,51615
GINGER,51615
FREDA,51615
CHRISTIE,51615
BETSY,51615
TERI,50097
MEREDITH,50097
MERCEDES,50097
LYNETTE,50097
EULA,50097
CRISTINA,50097
SOPHIA,48579
ROCHELLE,48579
MEGHAN,48579
LEIGH,48579
GRETCHEN,48579
ELOISE,48579
CECELIA,48579
RAQUEL,47061
KERRY,47061
KELLEY,47061
JANA,47061
HENRIETTA,47061
GWEN,47061
ALYSSA,47061
TRICIA,45543
TASHA,45543
OLIVE,45543
LAVERNE,45543
JENNA,45543
ALEXIS,45543
SOPHIE,44025
SONJA,44025
SILVIA,44025
PATTI,44025
MINDY,44025
MAY,44025
MANDY,44025
LORENA,44025
LILA,44025
LANA,44025
KELLIE,44025
KATE,44025
ESSIE,44025
ELVIRA,44025
DELIA,44025
DARLA,44025
CASEY,44025
SHARI,42507
MIRANDA,42507
MARTA,42507
LUCIA,42507
LORENE,42507
LELA,42507
JOSEFINA,42507
JOHANNA,42507
JEANNIE,42507
FAITH,42507
ELSA,42507
DIXIE,42507
CAMILLE,42507
WINIFRED,40988
TAMI,40988
TABITHA,40988
SHAWNA,40988
RENA,40988
ORA,40988
OLLIE,40988
NETTIE,40988
MELBA,40988
MARINA,40988
KRISTIE,40988
JAIME,40988
ELISA,40988
EBONY,40988
ALISHA,40988
AIMEE,40988
TAMMIE,39470
SHERRIE,39470
RONDA,39470
PATRICE,39470
MYRNA,39470
MARLA,39470
LATASHA,39470
BONITA,39470
ADDIE,39470
STACIE,37952
SHELBY,37952
REBEKAH,37952
LUCINDA,37952
JEWEL,37952
FRANCINE,37952
DORTHY,37952
DELORIS,37952
CHERI,37952
CELESTE,37952
CARA,37952
ADRIANA,37952
ADELE,37952
ABIGAIL,37952
TRISHA,36434
TRINA,36434
TRACIE,36434
SHAWN,36434
SALLIE,36434
REBA,36434
NIKKI,36434
MARISSA,36434
LOURDES,36434
LOTTIE,36434
LENORA,36434
LAUREL,36434
KERRI,36434
KELSEY,36434
KARIN,36434
JOSIE,36434
JANELLE,36434
HELENE,36434
FRANCISCA,36434
FERN,36434
ETTA,36434
ESTELLA,36434
ELVA,36434
EFFIE,36434
CORINNE,36434
CHRIS,36434
BRITTNEY,36434
AURORA,36434
MAUDE,34916
JENIFER,34916
IVA,34916
INGRID,34916
INA,34916
GOLDIE,34916
EUGENIA,34916
ELISABETH,34916
CHRISTA,34916
CASSIE,34916
CAITLIN,34916
BETTIE,34916
AIDA,34916
THERESE,33398
TAMIKA,33398
ROSETTA,33398
POLLY,33398
MORGAN,33398
LORNA,33398
LATONYA,33398
JANETTE,33398
FRANKIE,33398
DINA,33398
DENA,33398
DEBORA,33398
CONSUELO,33398
CHERIE,33398
CANDY,33398
TRUDY,31880
STEFANIE,31880
SHANNA,31880
PATRICA,31880
NELL,31880
KIMBERLEY,31880
JILLIAN,31880
JEWELL,31880
HELENA,31880
FAY,31880
ESPERANZA,31880
DOROTHEA,31880
CLEO,31880
CAROLINA,31880
SUSANNE,30362
ROSARIO,30362
OLA,30362
MOLLIE,30362
MARIBEL,30362
LUPE,30362
LOU,30362
JANINE,30362
ALISA,30362
SUSANA,28844
RACHELLE,28844
PETRA,28844
PAIGE,28844
LESLEY,28844
LEOLA,28844
KEISHA,28844
JONI,28844
JOLENE,28844
JOCELYN,28844
ISABELLE,28844
IMOGENE,28844
GRACIELA,28844
ESTER,28844
ELISE,28844
DAPHNE,28844
CECILE,28844
BETTE,28844
ALTA,28844
URSULA,27326
TONIA,27326
SONDRA,27326
SHANA,27326
ROSALIND,27326
MAYRA,27326
MARISOL,27326
MARISA,27326
LIZZIE,27326
LACEY,27326
KIRSTEN,27326
KERI,27326
JAYNE,27326
JACLYN,27326
GRACIE,27326
GLENNA,27326
GABRIELA,27326
CLARICE,27326
CHARITY,27326
CARMELA,27326
BEATRIZ,27326
ADELINE,27326
SUMMER,25808
STACI,25808
SHEENA,25808
SHAUNA,25808
ROBBIE,25808
MILLIE,25808
MARGRET,25808
LUELLA,25808
LILY,25808
LEA,25808
KATHARINE,25808
JUSTINE,25808
JODIE,25808
JIMMIE,25808
JEANINE,25808
GABRIELLE,25808
FRIEDA,25808
ELMA,25808
CLAUDETTE,25808
CHRISTI,25808
CATHLEEN,25808
AUTUMN,25808
ANGELINE,25808
ANGELIA,25808
WINNIE,24289
WILLA,24289
SYBIL,24289
SOCORRO,24289
SELMA,24289
RENE,24289
MAVIS,24289
MARTINA,24289
MARITZA,24289
MARGO,24289
MARCY,24289
MANUELA,24289
LUISA,24289
LUCILE,24289
LORIE,24289
LEANNE,24289
LARA,24289
LADONNA,24289
JEANNINE,24289
IVY,24289
GALE,24289
DOMINIQUE,24289
DOLLY,24289
DEE,24289
DEANA,24289
DALE,24289
CALLIE,24289
BOBBI,24289
AILEEN,24289
ABBY,24289
VIRGIE,22771
SIMONE,22771
RANDI,22771
OFELIA,22771
MEAGAN,22771
MATILDA,22771
MAGDALENA,22771
LEILA,22771
LEANN,22771
LATISHA,22771
JERI,22771
GEORGINA,22771
ELIZA,22771
CORNELIA,22771
BRIDGETTE,22771
BIANCA,22771
BETTYE,22771
BARBRA,22771
AUDRA,22771
VALARIE,21253
TIA,21253
TERRIE,21253
SHARRON,21253
RUTHIE,21253
ROSALYN,21253
RHODA,21253
RAE,21253
NOLA,21253
NELDA,21253
MINERVA,21253
MIA,21253
LILLY,21253
LIDIA,21253
LETHA,21253
LENORE,21253
JAMI,21253
ILA,21253
HILARY,21253
HALEY,21253
GRETA,21253
FLOSSIE,21253
ESTELA,21253
ERICKA,21253
ELNORA,21253
EARLINE,21253
DONA,21253
CORRINE,21253
CONCEPCION,21253
CLARISSA,21253
CHANDRA,21253
CATALINA,21253
BRIANNA,21253
BERNADINE,21253
AVA,21253
